nctid	criterion	cluster
NCT00024154	Fertile patients must use effective contraception (preferably nonhormonal)	16
NCT00024154	Random blood sugar less than 2.5 times ULN	15
NCT00024154	No other malignancy within the past 5 years except curatively treated basal cell or squamous cell skin cancer or carcinoma in situ of the cervix	15
NCT00024154	No other acute or chronic medical or psychiatric condition or laboratory abnormality that would preclude study participation	15
NCT00024154	No prior trastuzumab (Herceptin)	14
NCT00024154	No other concurrent immunologic therapy	14
NCT00024154	See Disease Characteristics	15
NCT00024154	Recovered from prior cytotoxic chemotherapy	14
NCT00024154	No prior cumulative dose of doxorubicin more than 360 mg/m\^2	14
NCT00024154	No concurrent chemotherapy	14
NCT00024154	At least 2 weeks since prior hormonal therapy	14
NCT00024154	No concurrent hormonal therapy, including tamoxifen	14
NCT00024154	No concurrent dexamethasone, progesterone, or glucocorticoids	15
NCT00024154	See Disease Characteristics	15
NCT00024154	At least 2 weeks since prior radiotherapy	14
NCT00024154	No prior radiotherapy to target lesions or only site of measurable disease	10
NCT00024154	No concurrent radiotherapy	15
NCT00024154	See Disease Characteristics	15
NCT00024154	No prior organ allograft	14
NCT00024154	No prior gefitinib	14
NCT00024154	No prior immunosuppressive therapy	14
NCT00024154	At least 2 weeks since prior cytotoxic drugs	14
NCT00024154	No concurrent carbamazepine, ethosuximide, griseofulvin, nafcillin, nelfinavir mesylate, nevirapine, oxcarbazepine, phenobarbital, phenylbutazone, phenytoin, primidone, rifabutin, rifampin, rofecoxib, Hypericum perforatum (St. John's Wort), sulfadimidine, sulfinpyrazone, troglitazone, or grapefruit juice	15
NCT00024154	No other concurrent investigational agents	15
NCT00024154	No concurrent topical eye agents	15
NCT00024154	Concurrent bisphosphonates allowed for hypercalcemia and/or prophylaxis of bone metastases	15
NCT00025883	All ethnic groups. Males and females.	15
NCT00025883	Age greater than or equal to 6 months.	15
NCT00025883	Clinically significant lipodystrophy, identified by the study physician during the physical examination as an absence of fat outside the range of normal variation and/or identified as a disfiguring factor by the patient. Circulating leptin levels less than 12.0 ng/ml in females and less than 8.0 ng/ml in males as measured by Linco assay on a specimen obtained after an overnight fast. In children ages 6 months 5 years, a circulating leptin level of less than 6 ng/mL will be used. Leptin samples will be run through Millipore Laboratories, who use the Linco Assay, which has been the assay previously used to measure leptin levels throughout this study period. Presence of at least one of the following metabolic abnormalities:	15
NCT00025883	Presence of diabetes as defined by the 2007 ADA criteria	15
NCT00025883	Fasting plasma glucose greater than or equal to 126 mg/dL, or	15
NCT00025883	2 hour plasma glucose greater than or equal to 200 mg/dL following a 75 gram (1.75gm/kg) oral glucose load, or	15
NCT00025883	Diabetic symptoms with a random plasma glucose greater than or equal to 200 mg/dl	15
NCT00025883	Fasting insulin greater than 30 micro units/ml.	15
NCT00025883	Fasting hypertriglyceridemia greater than 200 mg/dL or postprandially elevated triglycerides greater than 500 mg/dL when fasting is clinically not indicated (e.g. in infants) -Persons with impaired decision-making capacity and who may be unable to provide informed consent may participate in this study per the discretion of the Principal Investigator.	15
NCT00028405	Target tumors accessible for percutaneous implantation under CT (and ultrasound if needed) guidance in any superficial location, sarcoma, tumors of oral/oro-pharyngeal cavity, tumors with extensive pelvic involvement, or liver metastasis.	15
NCT00028405	Patient has failed prior surgery or chemotherapy or radiation therapy and the tumor is refractory.	14
NCT00028405	Tumor mass is not immediately adjacent to, or directly invading a major vessel or hollow viscus such that tumor necrosis could result in hemorrhage or perforation.	15
NCT00028405	Patient has not received prior chemotherapy for at least 4 weeks and patient has recovered from toxicity.	14
NCT00028405	Patient has an ECOG performance status of 0-3 (Karnofsky 30 or higher).	6
NCT00028405	If patients have received radiotherapy to sites of disease other than the one planned for insertion of the light delivery catheter, then the patient must have no current local or systemic toxicity from the prior radiation.	14
NCT00028405	Patient has recovered from all previous surgery in the judgment of the Principal Investigator.	15
NCT00028405	Patient has not been treated with any biologics (excluding hormones) at least 4 weeks prior to the screening and patient has recovered from any toxicity.	14
NCT00028405	Age 18 or older.	20
NCT00028405	Minimum life expectancy of 12 weeks.	2
NCT00028405	Ability to provide informed consent.	22
NCT00028405	All tumors must:	15
NCT00028405	have a minimum dimension that exceeds 4 x 2.8 cm;	15
NCT00028405	have a shape and location such that the mid-point on the light delivery catheter will be greater than 2.0 cm from any structure which, if damaged by PDT treatment, would result in pain or injury to the patient.	15
NCT00031460	Viral Culture:	15
NCT00031460	If cutaneous lesions are present, then isolation of Herpes Simplex Virus (HSV)-1 or HSV-2 by viral culture from any site (skin, oropharynx, cerebral spinal fluid \[CSF\], urine, etc.) will be required for study entry.	15
NCT00031460	If cutaneous lesions are not present, then viral isolation by culture is adequate for study entry but is not required. In the case of no cutaneous lesions and negative viral cultures, however, the CSF polymerase chain reaction (PCR) must be positive.	15
NCT00031460	Additional sites from which HSV culture will be attempted include conjunctivae, oropharynx, blood buffy coat, urine, and CSF.	15
NCT00031460	Evidence for central nervous system (CNS) HSV disease during the acute illness, including one or more of the following:	15
NCT00031460	Abnormal CSF indices for term infants: greater than 22 white blood cells (WBCs)/mm\^3 and protein greater than 115mg/dl.	19
NCT00031460	Abnormal CSF indices for preterm infants: greater than 25 WBCs/mm\^3 and protein greater than 220 mg/dl.	15
NCT00031460	Abnormal neuroimaging study (computed tomography \[CT\] with contrast, magnetic resonance imaging \[MRI\] with gadolinium, or head ultrasound) \[NOTE: CT with contrast is the preferred imaging study\].	15
NCT00031460	Abnormal electroencephalography (EEG), if performed (NOTE: EEG is suggested for the evaluation of infants with HSV disease but is not required for this study\].	15
NCT00031460	Positive CSF PCR for HSV deoxyribonucleic acid (DNA) \[NOTE: If no cutaneous lesions are present and all viral cultures are negative, the CSF PCR must be positive. If lesions are present and are culture-positive, abnormal CNS neurodiagnostic studies or abnormal CSF indices are sufficient for study entry\].	15
NCT00031460	Negative CSF PCR result within 48 hours prior to completion of intravenous acyclovir therapy.	14
NCT00031460	Less than or equal to 28 days of age at the time of initial presentation with CNS disease.	15
NCT00031460	Birth weight greater than or equal to 800 grams.	15
NCT00031486	Informed consent and/or assent must be obtained from the patient or legal guardian.	22
NCT00031486	Patients with encephalopathy consistent with herpes simplex encephalitis (HSE) whose cerebral spinal fluid (or brain biopsy sample) is positive for herpes simplex virus (HSV) deoxyribonucleic acid (DNA) by polymerase chain reaction (PCR).	15
NCT00031486	Patients who are receiving and will have completed intravenous (IV) acyclovir (ACV) therapy for a minimum duration of 14 days to a maximum of 21 days and a minimum dose of 30 mg/kg/day to a maximum of 60 mg/kg/day, or equivalent dose as adjusted for renal dysfunction.	14
NCT00031486	Patient is expected to be available for follow-up visits of study drug administration and through the 24 month study visit.	15
NCT00031486	Patients who are 12 years of age or older.	28
NCT00031486	Patients who weigh greater than or equal to 45.5kg (100 pounds).	3
NCT00031486	All female patients with childbearing potential must have a negative pregnancy test within 72 hours prior to initiation of study drug. If the pregnancy test is positive, the patient is ineligible for the study.	7
NCT00031486	Women must be post-menopausal, surgically sterile or willing to use adequate contraception (barrier method with spermicide, intrauterine device (IUD), oral contraceptives, implant or other licensed hormone method) from time of study enrollment through 1 month after the last dose of study treatment.	16
NCT00031486	Men must be surgically sterile or willing to use contraception (barrier method with spermicide) from time of study enrollment through 1 month after the last dose of study treatment.	16
NCT00034918	Histological and/or cytological confirmation of metastatic breast cancer which is refractory to anthracycline, taxane, with or without capecitabine therapies;	4
